root,target_months,horizon,signal,decile,n,mean_excess_bp,median_excess_bp,mean_signal
GC,1,1w,funding_change_24h_pct_ann,7,5529,13.667148645915947,18.065404558831855,0.15461864239984988
GC,1,1w,funding_change_24h_pct_ann,8,5530,8.221550107783758,8.31732281097565,0.3075222281217386
GC,1,1w,funding_change_24h_pct_ann,9,5529,15.923837392483525,22.093200321373605,0.600787623418109
GC,1,1w,funding_change_24h_pct_ann,10,5530,15.984614371706224,28.75910342265366,1.8891920422152493
GC,1,1w,funding_z_change_24h,1,5482,39.164302439773735,55.127747877007224,-1.3694276048820917
GC,1,1w,funding_z_change_24h,2,5465,13.233514785004692,16.41829452188892,-0.45277543694069405
GC,1,1w,funding_z_change_24h,3,5477,19.54134709465588,7.803091617293283,-0.22071716970524596
GC,1,1w,funding_z_change_24h,4,5478,2.514586472964,-5.219533712740254,-0.09733122244650345
GC,1,1w,funding_z_change_24h,5,5460,-13.757723486328972,1.0249996885545742,-0.019756716251500408
GC,1,1w,funding_z_change_24h,6,5476,3.813133329749245,19.72850191793241,0.03903302902442693
GC,1,1w,funding_z_change_24h,7,5462,-33.93746464396199,-20.27311688207312,0.11996917725709307
GC,1,1w,funding_z_change_24h,8,5462,28.585299123995135,29.535427939567345,0.2408246897406817
GC,1,1w,funding_z_change_24h,9,5477,17.720884164542387,18.543983395665897,0.4579588685124826
GC,1,1w,funding_z_change_24h,10,5462,36.111927067570825,49.74818981798063,1.3421446758364564
GC,1,1w,abs_funding_z_126d,1,5494,15.628247935067497,33.994518991002316,0.07051845904808945
GC,1,1w,abs_funding_z_126d,2,5451,-20.83991456914248,12.861463888050459,0.22457721544465448
GC,1,1w,abs_funding_z_126d,3,5494,-5.477016060033897,6.071565860362816,0.37293896619546385
GC,1,1w,abs_funding_z_126d,4,5465,9.78263197932525,25.251391812322126,0.5457612118818165
GC,1,1w,abs_funding_z_126d,5,5459,12.93415855220404,15.111323775267788,0.723505816483756
GC,1,1w,abs_funding_z_126d,6,5489,41.144744479873026,35.32021785841001,0.924837265485258
GC,1,1w,abs_funding_z_126d,7,5469,36.81064462957394,21.469919542115544,1.141244076740572
GC,1,1w,abs_funding_z_126d,8,5463,37.47914908994758,33.18553809689499,1.349649471649604
GC,1,1w,abs_funding_z_126d,9,5484,-15.531458131490801,-22.2281231625061,1.6469833577486748
GC,1,1w,abs_funding_z_126d,10,5457,0.8288199648024316,19.63500757510072,2.4701231754418
GC,1,3d,funding_pct_ann,1,5692,-0.869310631612417,3.603465098932927,0.36401772607194594
GC,1,3d,funding_pct_ann,2,5692,18.740723056620748,26.365274026013005,1.2273625867491058
GC,1,3d,funding_pct_ann,3,5691,-5.959533506424779,-6.132929682914774,1.735952385647631
GC,1,3d,funding_pct_ann,4,5692,-3.121691444783401,5.47603054986234,2.2083779384254743
GC,1,3d,funding_pct_ann,5,5691,-5.680599034658452,-7.147948896853718,2.6436779138472497
GC,1,3d,funding_pct_ann,6,5692,-1.1223338408071415,-4.5265383140054825,3.06964587466135
GC,1,3d,funding_pct_ann,7,5691,9.237912577093233,10.160696651506543,4.206878608957977
