ts,md_signed_flow_ewma,md_notional_share_ewma,complex_trades,complex_notional,complex_signed_notional_ratio,signed_share_GC,signed_share_SI,signed_share_HG,signed_share_PL,signed_share_PA,notional_share_GC,notional_share_SI,notional_share_HG,notional_share_PL,notional_share_PA
2025-08-18 02:50:00+00:00,14.101421177777818,9.462134371545375,246.0,45066862.5,0.19179241732215105,0.007527038297818048,0.0379519430712533,0.007471398746695533,0.15877908074918684,-0.01993704354280265,0.38334707680171876,0.22399884172100953,0.02738181518626907,0.30552326557012927,0.059749000720873344
2024-08-26 22:20:00+00:00,14.101273612824226,5.537525248189546,57.0,12992612.5,0.0012986225826406943,0.1178923792270415,-0.03434451693221821,0.04071063460100884,-0.12295987431319144,0.0,0.5894049406922588,0.17381223368279475,0.10637102430323386,0.13041180132171262,0.0
2026-01-16 21:10:00+00:00,14.078427856109741,5.6172707938552735,406.0,254068095.0,0.2513994722556565,0.22602975788833304,-0.10179219866233105,0.00402500361172858,0.12023512830290635,0.0029017811150195776,0.520592481318837,0.2773929564040695,0.022425582401442417,0.1745204568090299,0.005068523066621175
2025-11-27 17:55:00+00:00,13.98672847247198,15.615751320396809,269.0,95357767.5,0.1222729181448171,0.03954843007414158,0.03388135109182375,1.1797675527583098e-06,-8.588707784082657e-05,0.04892784428913984,0.5580708461950936,0.18932123174968415,0.03518184819081466,0.06657575115734542,0.1508503227070621
2023-07-13 20:35:00+00:00,13.959501566186677,6.2302088657591215,99.0,47179655.0,0.5217292814031811,0.08363414272529122,0.4387394312230558,0.006259318767803622,-0.004170441687206063,-0.002733169625763478,0.3838334553315407,0.5611656125929704,0.03767248827911099,0.01459527417061443,0.002733169625763478
2023-07-10 22:10:00+00:00,13.928915749237262,7.650939551038671,17.0,2451380.0,0.10827778638970702,4.07933490523705e-06,-0.09517088333918036,0.03846812815638536,0.11453548613434066,0.050440976103256124,0.3150511140663626,0.09517088333918036,0.3866393623183676,0.15269766417283326,0.050440976103256124
2023-09-18 18:40:00+00:00,13.863405169897502,7.498725033954355,180.0,57476600.0,-0.2091979605613415,3.6884575635997955e-05,-0.010209372161888493,-0.004904387176694515,-0.1941210857983945,0.0,0.6286259103704812,0.09192175598417443,0.05097465751279651,0.22847767613254785,0.0
2024-03-21 22:55:00+00:00,13.806498151979618,5.162894264369375,27.0,9359222.5,-0.42729323936897534,0.07021202883038626,-0.5192097954717927,0.021704527272431016,0.0,0.0,0.35058574577108303,0.5192097954717927,0.13020445875712433,0.0,0.0
2024-03-18 20:20:00+00:00,13.794935140225139,6.274459527051868,73.0,21251275.0,0.05054779066197205,0.25451931707626957,-0.11878581402762893,-0.004805594017300139,-0.0216565829579637,-0.05872353541140473,0.49885006899586026,0.23757868645528327,0.160398611377435,0.03465203852474734,0.06852059464667414
2024-06-03 11:25:00+00:00,13.754219174861424,5.985445680734065,429.0,117159145.0,0.02325347714000474,0.03010878920292565,-0.024743053561887978,-0.02876290621615581,-0.005751578333897879,0.052402226049020756,0.5158747104205993,0.23886910407207224,0.163570031174263,0.019906085862951627,0.06178006847011388
2024-04-08 22:40:00+00:00,13.73777078341812,5.710833582153398,92.0,20778667.5,-0.24287445284929846,-0.21553980783416454,0.01322630529604461,0.005166957890827214,6.4970479940544795e-06,-0.04573440524999979,0.6012671409271071,0.2697730737546091,0.036163892607646755,0.047061487460637215,0.04573440524999979
2023-11-13 23:25:00+00:00,13.690118460243962,11.679176391887736,48.0,8152190.0,-0.09075720757244372,0.023928539447682157,-0.12350668961346582,6.133321230246106e-06,-0.06398771373091157,0.07280252300302127,0.31105383952042337,0.20586492709321053,0.10136539997227739,0.22399747797831013,0.1577183554357786
2023-07-04 17:30:00+00:00,13.6855773947035,13.291422843867528,50.0,6769050.0,-0.15036600409215473,1.0341185247560589e-05,0.0,-0.013986453047325695,-0.1363898922300766,0.0,0.6851847748206913,0.0,0.041970438983313756,0.272844786195995,0.0
2026-02-10 21:40:00+00:00,13.653363898225493,4.399306846951579,81.0,41887970.0,0.08234464453636689,0.15666956407770535,0.08661436684565998,-0.15844644655732898,-0.002492839829669473,0.0,0.6145451784844193,0.153868163102676,0.22909381858323524,0.002492839829669473,0.0
2026-02-16 17:25:00+00:00,13.61886916586302,11.388245621882154,380.0,166636555.0,0.07390741785318355,0.02417404752516639,0.011461620771024703,-0.006989387772688892,-0.011090543728535431,0.056351681058216786,0.6052792558031459,0.073478625383248,0.05651025970862156,0.13383320964598674,0.13089864945899776
2024-08-13 22:50:00+00:00,13.577992601460279,5.184158219977411,43.0,10603705.0,-0.3166492277934929,-0.33078155229705086,0.07902898090808826,-0.048061031497952836,0.03565546193523867,-0.05249108684181614,0.6615810228594629,0.18438366589791022,0.048061031497952836,0.05348319290285801,0.05249108684181614
2023-11-02 22:05:00+00:00,13.566504698089378,7.440071647356344,67.0,20318610.0,-0.43385915670412495,-0.019712962648527642,-0.4329393103169951,0.004494648009878629,-0.0022897727748108754,0.01658824102633005,0.3042373469445006,0.6129294769671745,0.027258262253175784,0.03898667280881911,0.01658824102633005
2025-06-30 01:40:00+00:00,13.562909251440383,6.825276989318432,292.0,99580527.5,0.08650910691349772,0.029825811075363102,-0.007273761428909884,-0.0025666413546564116,-0.006139603950179919,0.07266330257188083,0.8115125720738927,0.06183864611482401,0.015409513672238782,0.02934373891522115,0.0818955292238234
2024-02-12 06:50:00+00:00,13.540898563915011,8.245068467727572,85.0,19621920.0,-0.30930242810081787,-0.15582318142159382,-0.0349596267847387,-0.028152826023141467,-0.020185078728279394,-0.0701817151430645,0.5400083172288951,0.23311047033113988,0.10765128998589332,0.03142251115079462,0.08780741130327716
2025-05-22 03:40:00+00:00,13.454988418897761,7.717974976797038,162.0,52520767.5,-0.23048477918758517,-0.10202668877601608,-0.0901376774434989,0.013448727686624152,-0.006252859880617699,-0.045516280774076656,0.5796731740449147,0.25108543967869473,0.04718014640589553,0.05478404328344973,0.0672771965870453
2024-07-18 18:35:00+00:00,13.437404567703242,8.898834805278161,506.0,97713760.0,-0.29900302679991025,-0.08809956755322894,-0.058599730478082104,-0.00653925301820337,-0.14481527473715064,-0.0009492010132452174,0.49290028344012143,0.15719843346525608,0.06546058610373809,0.2702804599884397,0.014160237002444691
2024-06-03 22:50:00+00:00,13.412903794964926,8.780087267662998,54.0,7902965.0,-0.03893348888676591,0.030011520992437642,-9.490109091967382e-06,0.029653427542700752,-0.11040729650200906,0.011818349189196713,0.39001817672228084,0.1171933571767052,0.2666815555933754,0.21428856131844187,0.011818349189196713
2024-09-23 22:35:00+00:00,13.404215667979944,6.185901929363014,47.0,10138630.0,-0.39156128589365624,-0.10463050727761049,-0.15296198796089808,4.931632774848102e-06,-0.13397372228792254,0.0,0.41854076931498635,0.22950586025922634,0.14999314503044298,0.18143476978645043,0.020525455608893906
2023-08-16 22:50:00+00:00,13.389225974246356,5.89968333454423,13.0,2549572.5,-0.7102435800511654,-0.37726716929995124,-0.397998095759191,4.902782721417022e-06,0.01742056756573896,0.047596214659516446,0.37726716929995124,0.48615012909026906,0.07156591938452427,0.01742056756573896,0.047596214659516446
2024-01-19 00:35:00+00:00,13.383005309095047,8.76255056627096,152.0,37108335.0,-0.12204562667659435,-0.1968377185341245,0.009300471174467948,-0.010127778570501747,-0.0012272175509895553,0.07684661680455347,0.7099855059516952,0.06486615473316171,0.10133235565540734,0.016208083709495454,0.1076078999502403
2024-12-03 21:50:00+00:00,13.366093641471226,7.924244121973562,110.0,31172860.0,-0.09210455825997357,0.11974165989261172,-0.101146478058157,-0.0033189928675136024,-0.047581935055044676,-0.05979881217187002,0.2907962246646602,0.485170433511715,0.08084195675340665,0.06450755561087433,0.0786838294593438
2025-01-10 00:20:00+00:00,13.330091667885258,7.195478578998626,106.0,22976262.5,-0.3603457046157964,-0.1874234332063363,2.1761589814705503e-06,5.440397453676376e-07,-0.16061446025000803,-0.012310531358178903,0.5743127281906707,0.10794836627584666,0.0562760153005738,0.21630541520841345,0.04515747502449539
2023-10-04 05:45:00+00:00,13.303068739772216,7.972882958250058,190.0,47489520.0,-0.3009445557672514,-0.17442543112669912,-0.008941446449658788,-0.007551929351991765,-0.026545225135987897,-0.08348052370291383,0.5808449948536014,0.11626091398691754,0.14750464944686745,0.037530806796952254,0.1178586349156614
2024-03-11 20:50:00+00:00,13.260530084901996,4.4372945305297895,172.0,120924977.5,0.5092810953799847,0.03262651010210029,-0.039808566431199045,0.5176420231295887,-0.0011821792565559915,3.3078360506620727e-06,0.3096165140903169,0.08062147458328037,0.59485301537476,0.009755387384711317,0.005153608566931509
2024-02-13 08:50:00+00:00,13.260327599728958,8.220452830545842,276.0,86848475.0,-0.11616977154751422,-0.051655599018865905,0.00529082404728465,-0.0010827766405800447,0.0015478682843884132,-0.07027008821974133,0.78201453738825,0.07398863365188622,0.03557201205893368,0.013002876561735828,0.09542194033919421
2024-10-24 22:35:00+00:00,13.253651238154426,7.792956876369435,66.0,21086310.0,0.3368910918980135,0.0911975589849528,0.17633004541809355,0.11912349766270154,0.022142091243086155,-0.07190210141082058,0.2996712084760207,0.2569866420440561,0.29516899827423576,0.03198165065390768,0.1161915005517798
2025-07-04 15:20:00+00:00,13.190311776802973,13.524183120533293,134.0,47436577.5,-0.2063989017757447,-0.16205996311601528,0.027349675469314792,0.01066344847496639,-0.010331689717707817,-0.07202037288630277,0.627116279626202,0.10943928237655846,0.07462200450696511,0.020663168627627067,0.1681592648626474
2024-12-13 05:15:00+00:00,13.18513699788542,8.348895463700357,207.0,56855540.0,-0.195468286819543,-0.09040491040978592,0.011049055202008459,-0.005563222159177454,-0.11054920945258809,0.0,0.6668138232439618,0.0938430977878321,0.08178402667532486,0.15755905229288122,0.0
2025-11-27 05:35:00+00:00,13.126719377861749,5.985101914989065,360.0,157601572.5,0.06929399451264993,0.0850277049107489,0.043969897571929366,0.01152185521499159,-0.07215946401803827,0.000934000833018338,0.5549303132746344,0.2982154572093499,0.023040299931017503,0.11545106886544548,0.008362860719552782
2025-07-10 23:15:00+00:00,13.08883809835404,5.111982808377832,72.0,17530040.0,-0.3552661602597598,-0.05704664678460518,-0.1293251470047986,-0.06408570659279728,-0.03634332836662096,-0.0684653315109378,0.3613106416186158,0.34485802656468556,0.10423107990626376,0.1211349203994971,0.0684653315109378
2026-02-16 01:05:00+00:00,13.034386606741988,5.825192669167765,258.0,87410637.5,0.3217488260510627,0.09801312797884583,0.026460452253308415,0.20200344609087195,-0.004730488323003022,2.2880510395545395e-06,0.46141786804838253,0.14945177582076324,0.3757212902148208,0.009463321898321586,0.003945744017711803
2024-09-12 00:35:00+00:00,13.013663960345605,6.609436538040888,162.0,33266092.5,0.016583928515199072,0.05344691445200544,0.017443437337883914,-0.12523450116661583,-0.00302109422680166,0.0739491721187272,0.4656329865011949,0.07848306800686014,0.27551815711448524,0.09410377849457371,0.086262009882886
2023-08-14 23:40:00+00:00,12.989977521558158,5.597258221116217,29.0,5465055.0,0.026359753012549756,-0.10642710823587317,-0.020717998263512442,0.050719983604922546,0.033096647700709324,0.0696882282063035,0.6031101242347973,0.020717998263512442,0.27338700159467744,0.033096647700709324,0.0696882282063035
2024-01-07 23:25:00+00:00,12.976338035457722,9.844915483855964,137.0,29307125.0,-0.1307313494585361,-0.07001062028431654,0.019903862968476096,-0.012989162191787832,0.0066349053344536505,-0.07427033528536149,0.6797319764391765,0.06764651940441105,0.06494666399382402,0.04974421748977424,0.1379306226728142
2026-05-14 22:05:00+00:00,12.925512345349622,8.806133147733457,351.0,156042210.0,0.18181881684449355,0.19714095307929821,0.02961602504860704,0.008430090806840021,0.0006549509905044281,-0.054023203080756164,0.6928131176814274,0.17253921230672137,0.031610998075456635,0.021931053142608015,0.08110561879378662
