feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
rv_z_HG,PA,2,0.010815065904695099,0.0002663424265110597,113648,0.0009400320935684459
rv_z_HG,PA,5,0.013979818759716135,2.4415197021857212e-06,113645,1.1330809667602243e-05
rv_z_HG,PA,10,0.014688435299484843,7.354437009908948e-07,113640,3.5709405134818015e-06
rv_z_HG,PA,20,0.013710442727898921,3.8037652791226646e-06,113630,1.7178294808941067e-05
rv_z_HG,PA,50,0.021988260476477995,1.245312711646486e-13,113600,8.435989336960066e-13
rv_z_PL,GC,1,0.02166587006539931,2.7779019477261544e-13,113649,1.8519346318174364e-12
rv_z_PL,GC,2,0.024597640859476366,1.1000920556800783e-16,113648,8.105941462905839e-16
rv_z_PL,GC,5,0.027689546639613694,9.986661533784698e-21,113645,8.066149700364564e-20
rv_z_PL,GC,10,0.031166301830625288,7.871897784017994e-26,113640,7.429656335477659e-25
rv_z_PL,GC,20,0.029300921202485973,5.1304679575703753e-23,113630,4.536413773009595e-22
rv_z_PL,GC,50,0.032657002987785254,3.430410410918316e-28,113600,3.51407895752608e-27
rv_z_PL,SI,1,0.035509492470004164,4.830078828434316e-33,113649,5.269176903746527e-32
rv_z_PL,SI,2,0.03917997578225096,7.365481823213336e-40,113648,9.518468817691082e-39
rv_z_PL,SI,5,0.039533071918813,1.5046251439839206e-40,113645,1.974820501478896e-39
rv_z_PL,SI,10,0.04168548788148782,6.845840265097918e-45,113640,9.427058725708607e-44
rv_z_PL,SI,20,0.04038670441755749,3.071619620664361e-42,113630,4.1615491634807476e-41
rv_z_PL,SI,50,0.03751198904176164,1.1537776600288716e-36,113600,1.384533192034646e-35
rv_z_PL,HG,1,0.0243670181498861,2.1091924961756316e-16,113649,1.5406275624239396e-15
rv_z_PL,HG,2,0.025249004988600433,1.6928977399388943e-17,113648,1.2584372580076736e-16
rv_z_PL,HG,5,0.028166376597896066,2.159742493008891e-21,113645,1.7962214793341274e-20
rv_z_PL,HG,10,0.03152261726237833,2.1852069843484863e-26,113640,2.085879394150828e-25
rv_z_PL,HG,20,0.033117202318282205,5.952288798376534e-29,113630,6.172743939057146e-28
rv_z_PL,HG,50,0.031102990654443823,1.0064806439183946e-25,113600,9.39381934323835e-25
rv_z_PL,PL,1,-0.10720112434850344,1.2541375710394256e-287,113649,7.524825426236553e-286
rv_z_PL,PL,2,-0.10769116469445118,2.949832461383486e-290,113648,1.9060455904324064e-288
rv_z_PL,PL,5,-0.10628450316316523,9.925545230988311e-283,113645,5.558305329353454e-281
rv_z_PL,PL,10,-0.1010885685756494,8.099901806232943e-256,113640,4.252448448272295e-254
rv_z_PL,PL,20,-0.09642990429113772,7.574351370249643e-233,113630,3.5346973061165e-231
rv_z_PL,PL,50,-0.09861645797614293,2.0386260213076232e-243,113600,1.0073210928814137e-241
rv_z_PL,PA,1,0.049250883295869095,5.584325176757244e-62,113649,9.772569059325176e-61
rv_z_PL,PA,2,0.048667941198274896,1.4610285590540102e-60,113648,2.5046203869497316e-59
rv_z_PL,PA,5,0.04810271027434297,3.343520141967794e-59,113645,5.5069743514763666e-58
rv_z_PL,PA,10,0.04541570464909786,5.832227936292934e-53,113640,8.9074026663383e-52
rv_z_PL,PA,20,0.039908073270923446,2.7687393176262623e-41,113630,3.691652423501683e-40
rv_z_PL,PA,50,0.028593833705127875,5.455782022964626e-22,113600,4.582856899290285e-21
rv_z_PA,GC,1,0.005843578991634743,0.04884126469739303,113649,0.11556806294594407
