ts,observed_count,residual_norm,max_abs_residual,residual_GC,residual_SI,residual_HG,residual_PL,residual_PA
2018-12-27 15:30:00+00:00,5,5.571223215161304,4.7628625331543875,0.7546662869169993,1.524676313872804,2.1242815858426205,-4.7628625331543875,0.9731070243208294
2024-06-07 13:00:00+00:00,5,5.563912390304191,4.810684378523158,2.252429864499337,0.18031552993626798,-4.810684378523158,1.6389974127725842,0.1488972575765955
2020-02-07 08:00:00+00:00,5,5.537832236405532,4.010857883112158,-0.20133823952877353,-1.8757217361738883,-4.010857883112158,0.7792933533681379,3.227140788870834
2025-02-14 09:00:00+00:00,5,5.535469601230922,4.949573940586433,0.2915006991027902,0.7106543412733064,-4.949573940586433,2.07252271664873,1.1215118596993414
2019-12-10 13:45:00+00:00,5,5.530783579103189,3.49625171510423,-1.3100905343718023,-2.148569013355539,-3.343917302257151,3.49625171510423,0.9226711254674012
2017-08-04 14:10:00+00:00,5,5.506920193357318,4.478275570264264,1.7880760219205023,2.633663976083941,0.3544508000029323,-4.478275570264264,-0.11036649885193488
2018-01-30 03:05:00+00:00,5,5.499944469183976,5.055370740690876,1.411374570074992,0.6879299544271592,-5.055370740690876,1.2923411287276245,-0.7464880749352166
2017-01-25 17:40:00+00:00,5,5.486275930234757,4.893144072659056,2.149584772364981,1.004048315517723,0.7261857750404119,0.013826551499407369,-4.893144072659056
2024-02-12 13:00:00+00:00,5,5.481043579764649,4.967203565207141,0.4232815864418159,1.2114117486475506,-4.967203565207141,1.8415141903863725,0.5752105923019424
2024-07-10 13:00:00+00:00,5,5.422041289339118,4.796833145542183,-1.8353068166077744,-1.1025955766030031,4.796833145542183,-1.3428977215614948,-0.0384851909124318
2018-12-05 08:15:00+00:00,3,5.414269586283382,4.074332552000721,,,-4.074332552000721,0.8173545102892408,0.5659814060453463
2017-06-09 10:15:00+00:00,3,5.357118519579024,4.061908054350503,,,-0.766080954274764,-0.3650400377902604,4.061908054350503
2019-04-26 12:30:00+00:00,5,5.353268521284241,3.586779170277259,-3.586779170277259,2.6896516776711805,2.763112193974138,-0.6882728419693847,-0.6706447613732281
2019-08-02 13:30:00+00:00,5,5.33802314745267,4.3496392967890385,1.8068448476863832,0.7130523459138096,0.2110040872593253,-4.3496392967890385,2.399473782750067
2025-04-07 02:30:00+00:00,5,5.334755473746458,4.790131643281297,-0.7115599804344837,-0.3526971355416757,4.790131643281297,-1.482749193944266,-1.6385959713686042
2021-05-18 01:45:00+00:00,4,5.334171534092405,3.780206063145375,-1.7241219596525346,3.780206063145375,-2.1032383637571215,-1.037565775129702,
2025-02-25 21:30:00+00:00,4,5.332906139352635,4.484325925524082,-0.044939259808626064,-0.773788095327298,4.484325925524082,-1.4289729714190547,
2021-02-12 16:45:00+00:00,5,5.318337519871166,4.696783695612333,-1.5360614379430932,-1.70794130322147,4.696783695612333,-0.6436399546238049,0.7308325829666785
2020-07-01 00:20:00+00:00,4,5.316350094050708,3.753560328624389,-1.9268114250431259,3.753560328624389,-0.7632291187269576,-2.055851785036581,
2019-04-18 07:30:00+00:00,5,5.315587590071399,4.723148762349073,1.6712856225769912,0.2727920657489825,-4.723148762349073,0.19598248937169704,1.743937188356563
2023-07-20 08:15:00+00:00,5,5.309745569929587,4.835081927549986,-1.6265862378369995,-1.352899941201205,4.835081927549986,-0.5003152789346537,-0.2982353984824287
