root,sample,lag,nobs,autocorr,tstat,pvalue
HG,contiguous,18,6936,0.01560649658791332,1.2997212986758016,0.1937397137567441
HG,contiguous,19,5527,-0.014608648602996308,-1.085981759474116,0.27753444114115156
HG,contiguous,20,4126,0.010627871947826698,0.6825432403298913,0.49493384641706656
HG,contiguous,21,2730,-0.04346403354204357,-2.272285074445943,0.023146802900116593
HG,contiguous,22,1365,-0.08348296227781125,-3.0928899282335403,0.002022435012701416
HG,contiguous,23,0,,,
HG,contiguous,24,0,,,
PL,all_observed,1,32310,-0.02614174261544672,-4.700434645201592,2.6067797424811306e-06
PL,all_observed,2,32309,-0.0018538710552095607,-0.3332181016960679,0.7389718173624618
PL,all_observed,3,32308,-0.0025790198014412746,-0.46355120601469485,0.6429724429050632
PL,all_observed,4,32307,-0.0002953405055958666,-0.053083299030801404,0.9576658663616423
PL,all_observed,5,32306,0.004367495174756791,0.784991088974472,0.432464549973158
PL,all_observed,6,32305,0.01133625955970202,2.037600870049268,0.04159799643217601
PL,all_observed,7,32304,-0.01075452400551911,-1.9329962716288789,0.053245386330787375
PL,all_observed,8,32303,0.007862712541299829,1.4131680405292246,0.1576159570929499
PL,all_observed,9,32302,0.00531370956243764,0.9550040327392176,0.3395828046853362
PL,all_observed,10,32301,0.008563583446157957,1.539097019951964,0.123790408493208
PL,all_observed,11,32300,-0.0015727537416407235,-0.2826500582430378,0.7774469146367968
PL,all_observed,12,32299,0.001122313519363184,0.20169519853703496,0.8401562867420646
PL,all_observed,13,32298,-0.014751485771913193,-2.651290957901858,0.008022386253655646
PL,all_observed,14,32297,0.001874697618157637,0.3368989327599112,0.7361952790806086
PL,all_observed,15,32296,-0.006919917535840352,-1.2435757307750666,0.2136647800588516
PL,all_observed,16,32295,0.023862890089062647,4.2894432282387065,1.796416657860225e-05
PL,all_observed,17,32294,0.015454803302122592,2.777556013986904,0.005480098647111436
PL,all_observed,18,32293,-0.014755563808747324,-2.6518187664420227,0.008009860480133702
PL,all_observed,19,32292,-0.01143717909235538,-2.0553290040210297,0.03985526232725399
PL,all_observed,20,32291,0.01979251666336273,3.557241902783763,0.00037530558485319646
PL,all_observed,21,32290,-0.01059517352974464,-1.9039389744832222,0.056927013194027105
PL,all_observed,22,32289,-0.009522976726640722,-1.711221637981573,0.08704981061828414
PL,all_observed,23,32288,-0.01673510162897576,-3.007435340709707,0.0026366496282729077
PL,all_observed,24,32287,-0.006827716786858813,-1.2268346030750776,0.21989370882653722
PL,contiguous,1,30899,-0.024327951898465778,-4.2775220934417115,1.8955268380380952e-05
PL,contiguous,2,29487,-0.0070227755629611414,-1.2059243517554805,0.22785633683115386
