ts,root,rolling_ar1
2021-12-15 00:00:00+00:00,PA,-0.042254009028274274
2021-12-16 00:00:00+00:00,PA,-0.04391488698138015
2021-12-17 00:00:00+00:00,PA,-0.05331577846198086
2021-12-19 00:00:00+00:00,PA,-0.06465399585015227
2021-12-20 00:00:00+00:00,PA,-0.06603494256866148
2021-12-21 00:00:00+00:00,PA,-0.07109076810093796
2021-12-22 00:00:00+00:00,PA,-0.0700960734944429
2021-12-23 00:00:00+00:00,PA,-0.06671053280145414
2021-12-26 00:00:00+00:00,PA,-0.06706905588276835
2021-12-27 00:00:00+00:00,PA,-0.07539629101917443
2021-12-28 00:00:00+00:00,PA,-0.07210746582897262
2021-12-29 00:00:00+00:00,PA,-0.06964260709822541
2021-12-30 00:00:00+00:00,PA,-0.0615957266072229
2021-12-31 00:00:00+00:00,PA,-0.06450573015316677
2022-01-02 00:00:00+00:00,PA,-0.06616185881829167
2022-01-03 00:00:00+00:00,PA,-0.05704381030262675
2022-01-04 00:00:00+00:00,PA,-0.05382883311108518
2022-01-05 00:00:00+00:00,PA,-0.05634562647020268
2022-01-06 00:00:00+00:00,PA,-0.05821894510617162
2022-01-07 00:00:00+00:00,PA,-0.05913801449274016
2022-01-09 00:00:00+00:00,PA,-0.05695489981926749
2022-01-10 00:00:00+00:00,PA,-0.05765420374485574
2022-01-11 00:00:00+00:00,PA,-0.06033504797555592
2022-01-12 00:00:00+00:00,PA,-0.05761854457909148
2022-01-13 00:00:00+00:00,PA,-0.058582795459309424
2022-01-14 00:00:00+00:00,PA,-0.07063323622627023
2022-01-16 00:00:00+00:00,PA,-0.0696043328952476
2022-01-17 00:00:00+00:00,PA,-0.06653085909471851
2022-01-18 00:00:00+00:00,PA,-0.06649961756483484
2022-01-19 00:00:00+00:00,PA,-0.059899341070453936
2022-01-20 00:00:00+00:00,PA,-0.05142961889280838
2022-01-21 00:00:00+00:00,PA,-0.0525592068045152
2022-01-23 00:00:00+00:00,PA,-0.05133061690076909
2022-01-24 00:00:00+00:00,PA,-0.04722286712995395
2022-01-25 00:00:00+00:00,PA,-0.04537019434757573
2022-01-26 00:00:00+00:00,PA,-0.03502866240426236
2022-01-27 00:00:00+00:00,PA,-0.026227146516560378
2022-01-28 00:00:00+00:00,PA,-0.032618401856770264
2022-01-30 00:00:00+00:00,PA,-0.02782648196631981
2022-01-31 00:00:00+00:00,PA,-0.024746013292335958
2022-02-01 00:00:00+00:00,PA,-0.02393862626495385
2022-02-02 00:00:00+00:00,PA,-0.03099818234829347
2022-02-03 00:00:00+00:00,PA,-0.03974269592251138
2022-02-04 00:00:00+00:00,PA,-0.04171492859675384
2022-02-06 00:00:00+00:00,PA,-0.04120407830648551
2022-02-07 00:00:00+00:00,PA,-0.04151397896864422
2022-02-08 00:00:00+00:00,PA,-0.042212215670308015
2022-02-09 00:00:00+00:00,PA,-0.04198986737799834
2022-02-10 00:00:00+00:00,PA,-0.046921507657864986
2022-02-11 00:00:00+00:00,PA,-0.04809947727975973
2022-02-13 00:00:00+00:00,PA,-0.05137294416080815
2022-02-14 00:00:00+00:00,PA,-0.04570638787198532
2022-02-15 00:00:00+00:00,PA,-0.048354886876384215
2022-02-16 00:00:00+00:00,PA,-0.05211760801375228
2022-02-17 00:00:00+00:00,PA,-0.06544303405806472
2022-02-18 00:00:00+00:00,PA,-0.07059202732580692
2022-02-20 00:00:00+00:00,PA,-0.07750983132598853
2022-02-21 00:00:00+00:00,PA,-0.08159428902343319
2022-02-22 00:00:00+00:00,PA,-0.08122213168592736
2022-02-23 00:00:00+00:00,PA,-0.08178323088022715
2022-02-24 00:00:00+00:00,PA,-0.10124134509512556
2022-02-25 00:00:00+00:00,PA,-0.10128023401488538
2022-02-27 00:00:00+00:00,PA,-0.10345533503927724
2022-02-28 00:00:00+00:00,PA,-0.10154066025496558
2022-03-01 00:00:00+00:00,PA,-0.10665083106472446
2022-03-02 00:00:00+00:00,PA,-0.10349291824793219
2022-03-03 00:00:00+00:00,PA,-0.10624537678843758
2022-03-04 00:00:00+00:00,PA,-0.11449551187740066
2022-03-06 00:00:00+00:00,PA,-0.1187768077789105
2022-03-07 00:00:00+00:00,PA,-0.07600832410785183
2022-03-08 00:00:00+00:00,PA,-0.10047148981517622
2022-03-09 00:00:00+00:00,PA,-0.10236997432328494
2022-03-10 00:00:00+00:00,PA,-0.10688025723700605
2022-03-11 00:00:00+00:00,PA,-0.09824579504163508
2022-03-13 00:00:00+00:00,PA,-0.10227941526730226
2022-03-14 00:00:00+00:00,PA,-0.09113858691350649
2022-03-15 00:00:00+00:00,PA,-0.10064553120639146
2022-03-16 00:00:00+00:00,PA,-0.10266543143293363
2022-03-17 00:00:00+00:00,PA,-0.09712389185691882
2022-03-18 00:00:00+00:00,PA,-0.09663608810892327
2022-03-20 00:00:00+00:00,PA,-0.09764919114063968
2022-03-21 00:00:00+00:00,PA,-0.09687037014143769
2022-03-22 00:00:00+00:00,PA,-0.09907708116416006
2022-03-23 00:00:00+00:00,PA,-0.10387170774522862
2022-03-24 00:00:00+00:00,PA,-0.1065233697564727
2022-03-25 00:00:00+00:00,PA,-0.10062421436350846
2022-03-27 00:00:00+00:00,PA,-0.09967623712138081
2022-03-28 00:00:00+00:00,PA,-0.10544681060248143
2022-03-29 00:00:00+00:00,PA,-0.11039469378159436
2022-03-30 00:00:00+00:00,PA,-0.10964217912093478
2022-03-31 00:00:00+00:00,PA,-0.11355376190692908
2022-04-01 00:00:00+00:00,PA,-0.11605861730963757
2022-04-03 00:00:00+00:00,PA,-0.11908711164971766
2022-04-04 00:00:00+00:00,PA,-0.1186006900536128
2022-04-05 00:00:00+00:00,PA,-0.11961855234019073
2022-04-06 00:00:00+00:00,PA,-0.11947469458102108
2022-04-07 00:00:00+00:00,PA,-0.12022878956792189
2022-04-08 00:00:00+00:00,PA,-0.11347968292956934
2022-04-10 00:00:00+00:00,PA,-0.1124875354434253
2022-04-11 00:00:00+00:00,PA,-0.11115536570555748
2022-04-12 00:00:00+00:00,PA,-0.10412548693588854
2022-04-13 00:00:00+00:00,PA,-0.10163245993770254
2022-04-14 00:00:00+00:00,PA,-0.09975047681062463
2022-04-17 00:00:00+00:00,PA,-0.09973168416091754
2022-04-18 00:00:00+00:00,PA,-0.09942597857639042
2022-04-19 00:00:00+00:00,PA,-0.10166192815070905
2022-04-20 00:00:00+00:00,PA,-0.10173971267927283
2022-04-21 00:00:00+00:00,PA,-0.10084179578067148
2022-04-22 00:00:00+00:00,PA,-0.10224269150621149
2022-04-24 00:00:00+00:00,PA,-0.10093679910829308
2022-04-25 00:00:00+00:00,PA,-0.09574863238798564
2022-04-26 00:00:00+00:00,PA,-0.09802431201991166
2022-04-27 00:00:00+00:00,PA,-0.10314376778017786
2022-04-28 00:00:00+00:00,PA,-0.10224449073344918
2022-04-29 00:00:00+00:00,PA,-0.10183067438631976
2022-05-01 00:00:00+00:00,PA,-0.10275589698467867
2022-05-02 00:00:00+00:00,PA,-0.1033603010742987
2022-05-03 00:00:00+00:00,PA,-0.10239121823024308
2022-05-04 00:00:00+00:00,PA,-0.09981657046212512
2022-05-05 00:00:00+00:00,PA,-0.0979756535613601
2022-05-06 00:00:00+00:00,PA,-0.09542187321495853
2022-05-08 00:00:00+00:00,PA,-0.09664378583076288
2022-05-09 00:00:00+00:00,PA,-0.09331791629866334
2022-05-10 00:00:00+00:00,PA,-0.09306142383342576
2022-05-11 00:00:00+00:00,PA,-0.09515461664565547
2022-05-12 00:00:00+00:00,PA,-0.0970592009146453
2022-05-13 00:00:00+00:00,PA,-0.09808872250033382
2022-05-15 00:00:00+00:00,PA,-0.099876069353094
2022-05-16 00:00:00+00:00,PA,-0.1046625406201991
2022-05-17 00:00:00+00:00,PA,-0.1047873859063627
2022-05-18 00:00:00+00:00,PA,-0.09888584836293483
2022-05-19 00:00:00+00:00,PA,-0.09451996794925162
2022-05-20 00:00:00+00:00,PA,-0.09602414155240864
2022-05-22 00:00:00+00:00,PA,-0.09723625537355826
2022-05-23 00:00:00+00:00,PA,-0.09704639249768679
2022-05-24 00:00:00+00:00,PA,-0.09909993751852456
2022-05-25 00:00:00+00:00,PA,-0.09066224583863039
2022-05-26 00:00:00+00:00,PA,-0.09075115005932512
2022-05-27 00:00:00+00:00,PA,-0.09100686673912198
2022-05-29 00:00:00+00:00,PA,-0.09276391488196976
2022-05-30 00:00:00+00:00,PA,-0.09075585639590109
2022-05-31 00:00:00+00:00,PA,-0.08784516040348964
2022-06-01 00:00:00+00:00,PA,-0.08911166555896079
2022-06-02 00:00:00+00:00,PA,-0.0836443135632364
2022-06-03 00:00:00+00:00,PA,-0.08364855425538649
2022-06-05 00:00:00+00:00,PA,-0.11778530988021584
2022-06-06 00:00:00+00:00,PA,-0.0982941435643461
2022-06-07 00:00:00+00:00,PA,-0.09030359153219233
2022-06-08 00:00:00+00:00,PA,-0.08652603668670224
2022-06-09 00:00:00+00:00,PA,-0.09653782640227372
2022-06-10 00:00:00+00:00,PA,-0.09616789916145482
2022-06-12 00:00:00+00:00,PA,-0.11113944176559783
2022-06-13 00:00:00+00:00,PA,-0.10043266554217004
2022-06-14 00:00:00+00:00,PA,-0.0989266622359536
2022-06-15 00:00:00+00:00,PA,-0.1039250946521496
2022-06-16 00:00:00+00:00,PA,-0.1056200056037916
2022-06-17 00:00:00+00:00,PA,-0.10419154352318136
2022-06-19 00:00:00+00:00,PA,-0.10440312513208012
2022-06-20 00:00:00+00:00,PA,-0.10124192286233277
2022-06-21 00:00:00+00:00,PA,-0.09782546221627554
2022-06-22 00:00:00+00:00,PA,-0.0947404955071208
2022-06-23 00:00:00+00:00,PA,-0.10385373950025154
2022-06-24 00:00:00+00:00,PA,-0.10473116036390252
2022-06-26 00:00:00+00:00,PA,-0.09708895499044179
2022-06-27 00:00:00+00:00,PA,-0.0834806112937203
2022-06-28 00:00:00+00:00,PA,-0.08697288241814385
2022-06-29 00:00:00+00:00,PA,-0.06822617528545546
2022-06-30 00:00:00+00:00,PA,-0.05703497936558871
2022-07-01 00:00:00+00:00,PA,-0.058153808980783234
2022-07-03 00:00:00+00:00,PA,-0.05811437394208236
2022-07-04 00:00:00+00:00,PA,-0.05629023093989462
2022-07-05 00:00:00+00:00,PA,-0.05861803086221898
2022-07-06 00:00:00+00:00,PA,-0.05519060304511593
2022-07-07 00:00:00+00:00,PA,-0.0644783842158593
2022-07-08 00:00:00+00:00,PA,-0.054325377663878606
2022-07-10 00:00:00+00:00,PA,-0.05089489244366867
2022-07-11 00:00:00+00:00,PA,-0.0559616192968493
2022-07-12 00:00:00+00:00,PA,-0.04894348031151527
2022-07-13 00:00:00+00:00,PA,-0.046843525402741476
2022-07-14 00:00:00+00:00,PA,-0.04561832758102481
2022-07-15 00:00:00+00:00,PA,-0.045209195488392084
2022-07-17 00:00:00+00:00,PA,-0.04627838068365509
2022-07-18 00:00:00+00:00,PA,-0.047432289499248916
2022-07-19 00:00:00+00:00,PA,-0.05161467136939252
2022-07-20 00:00:00+00:00,PA,-0.05628289609497952
2022-07-21 00:00:00+00:00,PA,-0.05096329933046258
2022-07-22 00:00:00+00:00,PA,-0.030740496443989896
2022-07-24 00:00:00+00:00,PA,-0.040911606469285856
2022-07-25 00:00:00+00:00,PA,-0.04219151425691637
2022-07-26 00:00:00+00:00,PA,-0.04022706558367648
2022-07-27 00:00:00+00:00,PA,-0.03911276071407659
2022-07-28 00:00:00+00:00,PA,-0.036985147504438924
2022-07-29 00:00:00+00:00,PA,-0.034224922998170065
2022-07-31 00:00:00+00:00,PA,-0.031609734979678734
2022-08-01 00:00:00+00:00,PA,-0.025537180972163568
2022-08-02 00:00:00+00:00,PA,-0.021242200383731646
2022-08-03 00:00:00+00:00,PA,-0.024584568015562434
2022-08-04 00:00:00+00:00,PA,-0.03158074740045282
2022-08-05 00:00:00+00:00,PA,-0.03337680571758492
2022-08-07 00:00:00+00:00,PA,-0.04113948994766848
2022-08-08 00:00:00+00:00,PA,-0.03358128613435485
2022-08-09 00:00:00+00:00,PA,-0.027137173261451646
2022-08-10 00:00:00+00:00,PA,-0.021110862077888985
2022-08-11 00:00:00+00:00,PA,-0.01649742073909846
2022-08-12 00:00:00+00:00,PA,-0.02045517341928364
2022-08-14 00:00:00+00:00,PA,-0.0004307927915541536
2022-08-15 00:00:00+00:00,PA,-0.0016988021732434815
2022-08-16 00:00:00+00:00,PA,-0.001432480802608251
2022-08-17 00:00:00+00:00,PA,-0.00661659029685625
2022-08-18 00:00:00+00:00,PA,0.00034916538405220326
2022-08-19 00:00:00+00:00,PA,-0.001561502190043162
2022-08-21 00:00:00+00:00,PA,-0.0011680522739478088
2022-08-22 00:00:00+00:00,PA,0.012658114259890593
2022-08-23 00:00:00+00:00,PA,0.006271079877491076
2022-08-24 00:00:00+00:00,PA,0.008596978721644421
2022-08-25 00:00:00+00:00,PA,0.011337690459698185
2022-08-26 00:00:00+00:00,PA,0.00368860246939924
2022-08-28 00:00:00+00:00,PA,0.003552201235285691
2022-08-29 00:00:00+00:00,PA,-0.006317523395759851
2022-08-30 00:00:00+00:00,PA,-0.0010481871262437719
2022-08-31 00:00:00+00:00,PA,0.0025637294046734404
2022-09-01 00:00:00+00:00,PA,0.005717988290241614
2022-09-02 00:00:00+00:00,PA,0.007456144362355179
2022-09-04 00:00:00+00:00,PA,0.008551910154489875
2022-09-05 00:00:00+00:00,PA,0.005839385837284319
2022-09-06 00:00:00+00:00,PA,0.005732383050336701
2022-09-07 00:00:00+00:00,PA,0.0053902999126346236
2022-09-08 00:00:00+00:00,PA,0.010638586428390093
2022-09-09 00:00:00+00:00,PA,0.010364501805954666
2022-09-11 00:00:00+00:00,PA,0.011769735786011667
2022-09-12 00:00:00+00:00,PA,0.01565112352829165
2022-09-13 00:00:00+00:00,PA,0.021067393287362044
2022-09-14 00:00:00+00:00,PA,0.022360425158670438
2022-09-15 00:00:00+00:00,PA,0.020137090141094792
2022-09-16 00:00:00+00:00,PA,0.016909186757194283
2022-09-18 00:00:00+00:00,PA,0.017804137468089395
2022-09-19 00:00:00+00:00,PA,0.030654164177625894
2022-09-20 00:00:00+00:00,PA,0.03609071863858581
2022-09-21 00:00:00+00:00,PA,0.029148030177629798
2022-09-22 00:00:00+00:00,PA,0.03218800300020487
2022-09-23 00:00:00+00:00,PA,0.0337532346337248
2022-09-25 00:00:00+00:00,PA,0.03238342797647888
2022-09-26 00:00:00+00:00,PA,0.030661110888154604
2022-09-27 00:00:00+00:00,PA,0.02552993755842576
2022-09-28 00:00:00+00:00,PA,0.02159379066322604
2022-09-29 00:00:00+00:00,PA,0.027164543299145204
2022-09-30 00:00:00+00:00,PA,0.02577599036457639
2022-10-02 00:00:00+00:00,PA,0.025938836161572578
2022-10-03 00:00:00+00:00,PA,0.02727977605398066
2022-10-04 00:00:00+00:00,PA,0.018776312645117383
2022-10-05 00:00:00+00:00,PA,0.017728327699513394
2022-10-06 00:00:00+00:00,PA,0.005692834584728654
2022-10-07 00:00:00+00:00,PA,0.0030187712722591895
2022-10-09 00:00:00+00:00,PA,-0.004452943900047225
2022-10-10 00:00:00+00:00,PA,-0.0117686358131112
2022-10-11 00:00:00+00:00,PA,-0.007274372093204978
2022-10-12 00:00:00+00:00,PA,-0.012593899324962039
2022-10-13 00:00:00+00:00,PA,-0.013348979275375619
2022-10-14 00:00:00+00:00,PA,-0.007389383500410701
