,tsne1,tsne2
51456,-42.49235,-14.206862
51553,-18.490519,-30.598944
51650,-26.700779,-11.311416
51747,-9.236499,-28.13841
51844,-32.272564,-25.03509
51941,2.5587802,-28.08524
52038,-25.248667,-2.6332986
52135,-24.47203,-30.717505
52232,-28.64875,-28.7588
52329,5.1303244,-19.613697
52425,15.483941,9.618937
52522,10.64645,0.48342317
52619,47.39762,-8.740191
52716,-41.53751,-11.660163
52813,26.01583,9.426392
52910,8.806198,-21.36787
53007,23.718569,20.100739
53104,-32.043842,-32.554058
53201,-29.24655,0.68087065
53298,-5.2851224,2.3454225
53395,-37.82878,31.59917
53491,-31.275236,16.812386
53588,-30.694592,-24.435059
53685,-34.83079,19.828129
53782,-10.167023,19.660418
53879,23.081873,2.2744527
53976,-30.987127,-21.992043
54073,-23.537544,-14.261462
54170,-25.915094,-16.709625
54267,-25.733137,-16.004593
54364,-31.073122,2.4457428
54460,-32.53948,-21.68625
54557,-39.07869,-1.1029061
54654,-20.381155,-33.14728
54751,-15.301859,4.1114516
54848,-17.321445,31.943142
54945,-6.006427,8.976165
55042,-31.054571,-23.078806
55139,10.40142,-32.467045
55236,-19.898962,-17.054514
55333,-30.141972,35.15586
55430,53.59373,-11.521072
55526,16.376595,19.81578
55623,19.899012,-3.1482832
55720,-24.806206,-18.794682
55817,-30.2965,-22.266737
55914,8.750278,-21.82178
56011,-0.46481746,16.042185
56108,-15.91318,3.2809863
56205,-30.851496,37.947643
56302,39.102127,-2.0787404
56399,-16.435085,-28.576511
56495,12.151866,-0.711167
56592,3.7836092,-21.477964
56689,-7.723757,10.0416
56786,42.217194,-7.1500807
56883,-7.967646,-19.067083
56980,-28.615307,-21.621893
57077,-28.133415,-31.681763
57174,-4.7005095,2.2459285
57271,-20.065649,9.402825
57368,-2.2104068,14.879649
57465,-10.496063,26.038523
57561,-19.789562,10.246059
57658,1.4842793,2.1748333
57755,19.505978,-2.7213895
57852,-28.47817,-17.645205
57949,-39.27647,-10.975793
58046,-27.159029,-20.777987
58143,-27.097229,-33.69318
58240,-36.129616,-9.270011
58337,-2.5354755,-11.941869
58434,-38.348236,-6.199488
58530,-6.924227,-28.105413
58627,-12.590683,3.6137311
58724,-1.3609742,-18.929605
58821,-16.879616,9.30946
58918,0.79432094,-14.715143
59015,-40.23868,-6.233522
59112,-17.885809,-18.116182
59209,14.207966,2.1844354
59306,-24.498213,-8.880897
59403,-13.178091,-18.58398
59500,-28.775988,-23.925274
59596,-15.691374,-11.785923
59693,-26.291986,-7.3872337
59790,-30.82165,-34.744423
59887,-20.12445,9.818122
59984,28.196272,-18.092741
60081,32.41093,-9.307408
60178,-25.394152,-27.47733
60275,-11.369103,19.682653
60372,45.125122,-5.5750365
60469,16.979832,15.313215
60565,0.053851683,14.763385
60662,-21.533604,-26.82339
60759,-26.693302,-4.673363
60856,-9.179359,4.3479123
60953,12.451319,-14.971582
61050,-26.641903,27.206257
61147,41.572823,-10.568365
61244,15.313723,9.570221
61341,6.628549,-18.287
61438,14.554222,17.981474
61535,20.487232,-1.6433115
61631,35.435688,16.723526
61728,-32.604176,-21.254396
61825,7.6209254,-31.915915
61922,16.94136,26.192726
62019,0.38186517,-16.080505
62116,22.465591,5.930084
62213,31.108551,15.210749
62310,-30.977255,-5.7840567
62407,29.018314,14.654426
62504,-12.902225,-29.760754
62600,-8.079561,4.551892
62697,9.094511,-24.008377
62794,40.07608,-0.9650003
62891,2.671866,-10.025786
62988,13.216525,-15.43774
63085,-7.008241,5.1564193
63182,20.12135,9.633653
63279,41.729836,-1.571321
63376,-30.384876,-25.738754
63473,-6.9509654,5.4189425
63570,6.3338795,-24.612413
63666,-14.940749,3.4129245
63763,7.5404825,30.734299
63860,26.828472,8.013456
63957,1.806914,-22.517601
64054,-12.344164,8.743076
64151,-43.42898,-8.438906
64248,29.33063,-10.538342
64345,22.90802,2.7374625
64442,-32.262154,12.769617
64539,15.246825,13.296859
