feature,root,horizon,spearman_ic,pvalue,observations
distance_from_equal_weight,PL,2,-0.0005926910202181388,0.7710018169219341,241172
distance_from_equal_weight,PL,5,-0.0012518425653438373,0.539350293267306,240410
distance_from_equal_weight,PL,10,-0.0004151731521073639,0.8391042219430056,239170
distance_from_equal_weight,PL,20,0.0006041435987715695,0.7687950158434853,236742
distance_from_equal_weight,PL,50,0.01068549908729183,3.0412940222610916e-07,229656
distance_from_equal_weight,PA,1,-0.0004982887120224067,0.8065826029880053,241433
distance_from_equal_weight,PA,2,-4.999806455193653e-05,0.9804110656735341,241172
distance_from_equal_weight,PA,5,0.00046371661015402244,0.8201386836563228,240410
distance_from_equal_weight,PA,10,-0.0011262161832678056,0.5817889984278828,239170
distance_from_equal_weight,PA,20,-0.0017993195008874899,0.38131523038609805,236742
distance_from_equal_weight,PA,50,0.006347168526776138,0.00235221267498605,229656
max_share,GC,1,0.0034367509802862148,0.0912822207216742,241433
max_share,GC,2,0.005542063176397458,0.006495231207451132,241172
max_share,GC,5,0.0058210467777726855,0.004315038310867482,240410
max_share,GC,10,0.005083394094198432,0.012917436908042378,239170
max_share,GC,20,-9.537830676396397e-05,0.9629857314525874,236742
max_share,GC,50,0.005154518071699916,0.013504747662030199,229656
max_share,SI,1,-0.007715506994349511,0.00014997227156646995,241433
max_share,SI,2,-0.006222866310182548,0.0022429800633419783,241172
max_share,SI,5,-0.008393903546371904,3.85975662831109e-05,240410
max_share,SI,10,-0.011047301299847085,6.560113013626704e-08,239170
max_share,SI,20,-0.015552646587286698,3.797869444597004e-14,236742
max_share,SI,50,-0.01037678787338311,6.59530831142714e-07,229656
max_share,HG,1,-0.002955035333289312,0.14650804137576437,241433
max_share,HG,2,-0.0008289758177867937,0.6839331489046545,241172
max_share,HG,5,0.002343815675764804,0.2504708593771401,240410
max_share,HG,10,0.0021357052263317098,0.296271420517122,239170
max_share,HG,20,0.0005381264627968659,0.7934523518724527,236742
max_share,HG,50,-0.0006962362936803395,0.7386424565493758,229656
max_share,PL,1,-0.0027141362075741395,0.18233204420544188,241433
max_share,PL,2,-0.0010461872581469375,0.607411154316192,241172
max_share,PL,5,-0.0017407586282684238,0.3933718844080132,240410
max_share,PL,10,-0.0013307697796690692,0.5151691569948207,239170
max_share,PL,20,-0.000796645011311004,0.6983011664741383,236742
max_share,PL,50,0.010216552908197613,9.774625543360066e-07,229656
max_share,PA,1,-0.0006319361110160944,0.7561765851686789,241433
max_share,PA,2,-0.00014436789719650403,0.9434792157274876,241172
max_share,PA,5,0.0006534947213297463,0.7486519122324006,240410
max_share,PA,10,-0.0011713283944111384,0.5667560998819469,239170
max_share,PA,20,-0.002094452304722474,0.3081671761375928,236742
max_share,PA,50,0.006544146885987799,0.001711926008905361,229656
contribution_velocity_l2,GC,1,0.00013359997397489724,0.9476603664983083,241433
contribution_velocity_l2,GC,2,0.0027751568157727115,0.17292830758137726,241172
contribution_velocity_l2,GC,5,-0.00108612555224976,0.594350405753423,240410
contribution_velocity_l2,GC,10,0.00477718196094358,0.019476526452059273,239170
contribution_velocity_l2,GC,20,0.008072407042113212,8.573894215265994e-05,236742
contribution_velocity_l2,GC,50,0.0042705364896130135,0.040702940493744705,229656
contribution_velocity_l2,SI,1,0.00358062259038611,0.07851549272448669,241433
contribution_velocity_l2,SI,2,0.008247026097267542,5.119534529962066e-05,241172
contribution_velocity_l2,SI,5,0.005210721351780031,0.010621669800592539,240410
contribution_velocity_l2,SI,10,0.011154841767448508,4.885786313459835e-08,239170
contribution_velocity_l2,SI,20,0.014167048639475653,5.445580484853692e-12,236742
contribution_velocity_l2,SI,50,0.009276644095065536,8.762023477738547e-06,229656
contribution_velocity_l2,HG,1,0.0015421352210951143,0.4486081441764996,241433
contribution_velocity_l2,HG,2,0.0018657323992097572,0.3595391768653601,241172
contribution_velocity_l2,HG,5,-0.0010755476314523852,0.5979464867133965,240410
contribution_velocity_l2,HG,10,0.0025223925208597148,0.2173624958523183,239170
contribution_velocity_l2,HG,20,0.001906147634720717,0.35369096062510774,236742
contribution_velocity_l2,HG,50,0.004887031988017601,0.01918143040330207,229656
contribution_velocity_l2,PL,1,0.0032694236875986217,0.10817408212772947,241433
contribution_velocity_l2,PL,2,0.004336799788029809,0.03319064656935637,241172
contribution_velocity_l2,PL,5,0.0035930608480233463,0.07811449467109127,240410
contribution_velocity_l2,PL,10,0.005463726502595887,0.007539121898657416,239170
contribution_velocity_l2,PL,20,0.002078209207135778,0.3119340463173012,236742
contribution_velocity_l2,PL,50,-0.00540501377738981,0.009591484723057908,229656
contribution_velocity_l2,PA,1,-0.00012754073978458644,0.950030975462332,241433
contribution_velocity_l2,PA,2,0.001064441925367784,0.6011572484231693,241172
contribution_velocity_l2,PA,5,-0.00025805077019072425,0.8993157090247323,240410
contribution_velocity_l2,PA,10,0.002158044748289725,0.29124804043168057,239170
contribution_velocity_l2,PA,20,8.418312938019275e-05,0.9673277482348294,236742
contribution_velocity_l2,PA,50,-0.0030094692092367953,0.14924415241052919,229656
contribution_acceleration_l2,GC,1,0.0016423736809135642,0.4196720480544348,241433
contribution_acceleration_l2,GC,2,0.000825643607314808,0.6851353860410515,241172
contribution_acceleration_l2,GC,5,-0.0007991232445450115,0.6951903906960127,240410
contribution_acceleration_l2,GC,10,0.0040706029517696965,0.04651095032267516,239170
contribution_acceleration_l2,GC,20,0.006007119901156571,0.0034685065820515967,236742
contribution_acceleration_l2,GC,50,0.0038456772205243627,0.06533791158361388,229656
contribution_acceleration_l2,SI,1,0.0045715418617481044,0.024687023522074962,241433
contribution_acceleration_l2,SI,2,0.00598986674624203,0.0032653117298022455,241172
contribution_acceleration_l2,SI,5,0.003912327391529486,0.05507615547205245,240410
contribution_acceleration_l2,SI,10,0.009631648386999571,2.4717864117304517e-06,239170
contribution_acceleration_l2,SI,20,0.012332067594101858,1.9670528790491064e-09,236742
contribution_acceleration_l2,SI,50,0.009717009033621462,3.212991831716568e-06,229656
contribution_acceleration_l2,HG,1,0.0013432978180774704,0.509229802424524,241433
contribution_acceleration_l2,HG,2,0.0016588528035458754,0.4152745291829364,241172
contribution_acceleration_l2,HG,5,-0.0008681562805018342,0.670349070982495,240410
contribution_acceleration_l2,HG,10,0.002219349426440057,0.27775837969717326,239170
contribution_acceleration_l2,HG,20,0.0006995049887305491,0.7335926859198479,236742
contribution_acceleration_l2,HG,50,0.005187227162396328,0.012924283584542088,229656
contribution_acceleration_l2,PL,1,0.001969539571271354,0.3331714455136332,241433
contribution_acceleration_l2,PL,2,0.005101372886446253,0.012236483717319306,241172
contribution_acceleration_l2,PL,5,0.0020183356712271095,0.3223605808409098,240410
contribution_acceleration_l2,PL,10,0.0046777829393698815,0.02215670109228381,239170
contribution_acceleration_l2,PL,20,0.0005960846554181623,0.7717930716145955,236742
contribution_acceleration_l2,PL,50,-0.006820409272738939,0.0010810902221113378,229656
contribution_acceleration_l2,PA,1,-0.0017102020748906135,0.40072995220611923,241433
contribution_acceleration_l2,PA,2,1.5188446533602963e-05,0.994048717273046,241172
contribution_acceleration_l2,PA,5,-0.0005602737191452937,0.7835391339206342,240410
contribution_acceleration_l2,PA,10,0.000974967391902936,0.633500613574635,239170
contribution_acceleration_l2,PA,20,-0.001368563299759811,0.5054834092830597,236742
contribution_acceleration_l2,PA,50,-0.0037919962360453132,0.06918440393137686,229656
rank_turnover_l1,GC,1,0.0012434872121192928,0.5412029818008737,241433
rank_turnover_l1,GC,2,0.002028113457435631,0.3192562220537238,241172
rank_turnover_l1,GC,5,-0.0005562598166531736,0.785051688248478,240410
rank_turnover_l1,GC,10,-0.0008936917445824466,0.66206940181848,239170
rank_turnover_l1,GC,20,-0.0010137102077998398,0.6218502348958833,236742
rank_turnover_l1,GC,50,0.00456421882365968,0.028721769435880694,229656
rank_turnover_l1,SI,1,0.00011725711531104956,0.9540553321161312,241433
rank_turnover_l1,SI,2,0.002715496903295954,0.18234936457209985,241172
rank_turnover_l1,SI,5,0.0015574970861119426,0.445068343730971,240410
rank_turnover_l1,SI,10,0.002654848208875162,0.1941673384129839,239170
rank_turnover_l1,SI,20,0.002366290947425194,0.24959182035781244,236742
rank_turnover_l1,SI,50,0.006146495679330788,0.003223681911699363,229656
rank_turnover_l1,HG,1,-0.0020565780464624167,0.3122497786001416,241433
rank_turnover_l1,HG,2,-0.0012433442542010699,0.5414681922502196,241172
rank_turnover_l1,HG,5,0.0012053406615901334,0.5545236208926562,240410
rank_turnover_l1,HG,10,0.0007597291680230768,0.710232585955949,239170
rank_turnover_l1,HG,20,-0.0009158454545850779,0.6558769694540431,236742
rank_turnover_l1,HG,50,0.00395451065156213,0.05807981921566258,229656
rank_turnover_l1,PL,1,0.0013888288796170911,0.49498009907756724,241433
rank_turnover_l1,PL,2,0.003810453001120536,0.06130592224495389,241172
rank_turnover_l1,PL,5,0.003925751859925258,0.05424722086559729,240410
rank_turnover_l1,PL,10,0.0019310107055688997,0.3449872866743955,239170
rank_turnover_l1,PL,20,0.00021712042615501794,0.9158665088084368,236742
rank_turnover_l1,PL,50,0.0018108611914229515,0.38550119768861885,229656
rank_turnover_l1,PA,1,0.00217608683174916,0.2849641955524228,241433
rank_turnover_l1,PA,2,0.0004916882684330298,0.8091960865676546,241172
rank_turnover_l1,PA,5,-0.001393409293846183,0.49447544132258003,240410
rank_turnover_l1,PA,10,-0.0006636349584914788,0.7455223692425254,239170
rank_turnover_l1,PA,20,-0.0008825074084741718,0.6676380764223395,236742
rank_turnover_l1,PA,50,0.0018091405461947666,0.38595283932371266,229656
GC_share_velocity,GC,1,5.764575845036271e-05,0.9774032792633907,241433
GC_share_velocity,GC,2,0.0015756537575234634,0.4390558958024586,241172
GC_share_velocity,GC,5,0.0015528949125012143,0.44641456263251483,240410
GC_share_velocity,GC,10,0.003493038363786529,0.08758680363595342,239170
