feature,root,horizon,bucket,bucket_type,observations,mean_bps,median_bps,vol_bps,tstat,hit_rate,sharpe_per_event,baseline_mean_bps,excess_mean_bps
md_rolling,GC,20,8,decile,23718,0.32910902435287986,1.2732098282786097,31.421470960223107,1.6130666460853917,0.5154734800573404,0.010474017106630804,,
md_rolling,GC,20,9,decile,23735,-0.21734453833692505,0.6854714332504841,30.92604150299898,-1.0827271196014974,0.5091215504529176,-0.00702788096290463,,
md_rolling,GC,20,10,decile,23755,0.7220199038280768,1.6805310517664651,30.548855347569784,3.6427699488730703,0.5237213218269838,0.023634924962434467,,
md_rolling,GC,50,1,decile,22824,0.7221268310127147,2.359280544244058,49.96463955811357,2.18346684775345,0.5218191377497371,0.014452757738256338,,
md_rolling,GC,50,2,decile,22850,0.6012143373872502,2.5487177249949866,50.275440489786554,1.8076591618015434,0.5206564551422319,0.011958410140819886,,
md_rolling,GC,50,3,decile,22800,0.9256040726718221,2.3456793734943915,50.30663990711638,2.7782247091784105,0.5207456140350877,0.018399242612522133,,
md_rolling,GC,50,4,decile,22838,0.9280042655657791,2.4384300462365616,51.15329415739134,2.7416082621884805,0.5204921621858306,0.01814163253514902,,
md_rolling,GC,50,5,decile,22973,0.26908154829971437,2.1333333414119693,50.705088393791385,0.804342895322523,0.5189570365211335,0.005306795763966407,,
md_rolling,GC,50,6,decile,22983,0.567274945755253,2.053915283211083,49.95926484308131,1.721396527048433,0.5175129443501718,0.011354749665292823,,
md_rolling,GC,50,7,decile,23058,0.843700665692731,2.8994311829899644,49.517990644355514,2.5872368946572135,0.5246335328302542,0.01703826538019881,,
md_rolling,GC,50,8,decile,23053,1.0488309617461542,2.4260558516431274,48.961751211892086,3.252462378099431,0.5213204355181538,0.021421434809533704,,
md_rolling,GC,50,9,decile,23074,0.7477439644272356,2.4160259680350293,48.130021124899535,2.3599255817071514,0.521452717344197,0.01553591598239292,,
md_rolling,GC,50,10,decile,22771,1.031407801499947,2.6794685881270652,48.4156372169,3.214665664250037,0.5264151771990689,0.021303195843096805,,
md_rolling,SI,1,1,decile,24069,0.02369661422816909,0.0,14.72548030123726,0.24965821026038884,0.4519921891229382,0.001609225216659185,,
md_rolling,SI,1,2,decile,24087,0.0938090149136829,0.0,14.7108164760644,0.9896899366188687,0.4475858346826089,0.006376873443178167,,
md_rolling,SI,1,3,decile,24073,-0.03719484634294294,0.0,14.498887070459928,-0.39802761987116897,0.44157354712748725,-0.0025653587176855683,,
md_rolling,SI,1,4,decile,24082,-0.14022688827974558,0.0,15.118081257818952,-1.4393980089740692,0.4408271738227722,-0.009275442160176334,,
md_rolling,SI,1,5,decile,24088,0.04675842375444115,0.0,14.97229255750735,0.4846987828387908,0.4424609764197941,0.0031229969341599407,,
