index,root,relative_bar,mean,median,count
52,GC,32,0.00011595053130204434,0.0002461913723554865,12084
53,GC,33,0.00012006470417951939,0.00025264541299696575,12084
54,GC,34,0.00012596303380270295,0.0002522853012276727,12084
55,GC,35,0.00013049027589719084,0.0002470510440075735,12084
56,GC,36,0.00012941409188130847,0.0002613741223598254,12084
57,GC,37,0.0001406669459370082,0.00026046668797707895,12084
58,GC,38,0.0001455960118349905,0.0002532128649694876,12084
59,GC,39,0.00015005040321347816,0.0002856648894962177,12084
60,GC,40,0.00015520791907069377,0.00029810580608113924,12084
61,GC,41,0.0001512556208483364,0.0003049947961737409,12084
62,GC,42,0.0001560258038049749,0.0003001795745820601,12084
63,GC,43,0.00015263294901971788,0.0002997361380030483,12084
64,GC,44,0.00015932151099781462,0.00032423770274370156,12084
65,GC,45,0.00016240914684057848,0.0003168191452060931,12084
66,GC,46,0.00016021077038206252,0.0002949203658122457,12084
67,GC,47,0.00015132698046474696,0.0003006468027368925,12084
68,GC,48,0.00015272263234324698,0.00029703789158475047,12084
69,GC,49,0.00015320303309479853,0.0002896032455810271,12083
70,GC,50,0.00014277971934624,0.0002906272725695658,12083
71,HG,-20,-0.00027911671715520175,-0.0002632101019981459,12084
72,HG,-19,-0.00028543890749035516,-0.00026252077083388503,12084
73,HG,-18,-0.00026550834897732286,-0.00026258794123235063,12084
74,HG,-17,-0.00027250706559975746,-0.0002594667887643176,12084
75,HG,-16,-0.0002669056737913311,-0.00024533910007285,12084
76,HG,-15,-0.00026355908621713734,-0.00023402766759650362,12084
77,HG,-14,-0.00026617728941206607,-0.000218185786710845,12084
78,HG,-13,-0.0002788218802059035,-0.0002162747765248607,12084
79,HG,-12,-0.00026993250833047593,-0.00021588948807271802,12084
80,HG,-11,-0.0002690510088271655,-0.0002196957282740719,12084
81,HG,-10,-0.0002618028008010101,-0.00021389244364922178,12084
82,HG,-9,-0.00024531611448117766,-0.0001811758851628653,12084
83,HG,-8,-0.00022613358039964477,-0.0001657825040000116,12084
84,HG,-7,-0.00020232171314920263,-0.00011506156758134267,12084
85,HG,-6,-0.00018379600653235215,-0.00011132760359966465,12084
86,HG,-5,-0.00016728426753196194,-0.00010756736914396825,12084
87,HG,-4,-0.00014517398809688696,-0.00010302375690629528,12084
88,HG,-3,-0.00010708438544013766,-8.432058692076083e-05,12084
89,HG,-2,-7.456550075687413e-05,-0.0,12084
90,HG,-1,-3.9940918100256085e-05,-0.0,12084
91,HG,0,0.0,0.0,12084
92,HG,1,-6.274363884693917e-06,0.0,12084
93,HG,2,-1.0985428623510243e-05,0.0,12084
94,HG,3,1.2985726281447616e-05,0.0,12084
95,HG,4,1.2975582999272707e-05,0.0,12084
96,HG,5,1.3191065124442605e-05,0.0,12084
97,HG,6,1.7598040450232997e-05,0.0,12084
98,HG,7,4.42431303272929e-05,0.0,12084
99,HG,8,5.9302116247137366e-05,0.0,12084
100,HG,9,6.765699760296164e-05,0.0,12084
101,HG,10,6.596468125744025e-05,0.0,12084
102,HG,11,8.022869036836571e-05,7.685226010401003e-05,12084
103,HG,12,8.406175010734861e-05,0.0,12084
104,HG,13,9.923519517044626e-05,0.0001014919338309106,12084
105,HG,14,9.038858721723975e-05,8.429936367249091e-05,12084
106,HG,15,8.580697720586786e-05,8.393842712139943e-05,12084
107,HG,16,8.444770389027998e-05,9.47023372068756e-05,12084
108,HG,17,7.012652027656227e-05,0.0,12084
109,HG,18,5.4001434494237234e-05,0.0,12084
110,HG,19,2.4590624729835805e-05,0.0,12084
111,HG,20,2.4822196543893557e-05,0.0,12084
112,HG,21,3.3122433402253694e-05,0.0,12084
113,HG,22,4.407639464669516e-05,0.0,12084
114,HG,23,4.97925199136991e-05,0.0,12084
115,HG,24,5.1375043007996844e-05,0.0,12084
116,HG,25,5.142143659268495e-05,2.2906261836208586e-06,12084
117,HG,26,7.028655613418922e-05,8.558866393326703e-05,12084
118,HG,27,9.126886275890893e-05,0.00010295480975297533,12084
119,HG,28,0.00010244309837606757,9.088104225218885e-05,12084
120,HG,29,0.00011011453743560318,0.00010082169793934614,12084
121,HG,30,0.00010441106378071061,8.134051972663592e-05,12084
122,HG,31,0.0001044648450624283,7.858651112346848e-05,12084
123,HG,32,0.00011292929414718243,8.09719512746554e-05,12084
124,HG,33,0.00011993901691419343,0.00010967952624840738,12084
125,HG,34,0.00013753201934200879,0.00012214548765387967,12084
126,HG,35,0.00014070365074336924,0.00012032249962423691,12084
